number,value,datetime_start,datetime_complete,duration,params_adstock_max_lag,params_yearly_seasonality,user_attrs_converged,user_attrs_divergence_rate,user_attrs_max_rhat,user_attrs_min_ess,user_attrs_n_divergences,user_attrs_waic,state
0,-189.10788432138898,2025-10-18 21:54:19.193583,2025-10-18 21:54:28.369770,0 days 00:00:09.176187,12,4,True,0.0,1.0192245881592579,342.25345501341866,0,-189.10788432138898,COMPLETE
1,-187.79280318770918,2025-10-18 21:54:28.370432,2025-10-18 21:54:41.416959,0 days 00:00:13.046527,9,8,True,0.0,1.0179938940191897,343.95059969567393,0,-187.79280318770918,COMPLETE
2,-188.24510983068188,2025-10-18 21:54:41.417551,2025-10-18 21:54:48.804996,0 days 00:00:07.387445,5,2,True,0.0,1.0073485354225167,180.21494136823364,0,-188.24510983068188,COMPLETE
3,-189.37708684679,2025-10-18 21:54:48.805633,2025-10-18 21:54:58.415527,0 days 00:00:09.609894,11,1,True,0.0,1.0100235344392983,296.59809532366376,0,-189.37708684679,COMPLETE
4,-185.82101084164083,2025-10-18 21:54:58.416200,2025-10-18 21:55:08.579938,0 days 00:00:10.163738,10,7,True,0.0,1.021942627237446,228.0318290997184,0,-185.82101084164083,COMPLETE
5,-189.47066925417167,2025-10-18 21:55:08.580521,2025-10-18 21:55:17.851434,0 days 00:00:09.270913,12,1,True,0.0,1.009591851484141,283.0242771703716,0,-189.47066925417167,COMPLETE
6,-185.958480771038,2025-10-18 21:55:17.852013,2025-10-18 21:55:26.969283,0 days 00:00:09.117270,5,9,True,0.0,1.0192640855383148,284.74513381774904,0,-185.958480771038,COMPLETE
7,-188.70439979020915,2025-10-18 21:55:26.969823,2025-10-18 21:55:34.792652,0 days 00:00:07.822829,5,2,True,0.0,1.0095361668952534,330.5656614494735,0,-188.70439979020915,COMPLETE
8,-188.6043606889142,2025-10-18 21:55:34.793214,2025-10-18 21:55:46.181964,0 days 00:00:11.388750,8,4,True,0.0,1.0157473098075511,332.1971498848784,0,-188.6043606889142,COMPLETE
9,-187.94160658473317,2025-10-18 21:55:46.182771,2025-10-18 21:55:55.126303,0 days 00:00:08.943532,6,5,True,0.0,1.0123763016448344,253.45123581531658,0,-187.94160658473317,COMPLETE
10,-183.42656035226628,2025-10-18 21:55:55.126926,2025-10-18 21:56:06.241593,0 days 00:00:11.114667,8,10,True,0.0,1.0189852381109006,172.30455086576112,0,-183.42656035226628,COMPLETE
11,-189.06847454207656,2025-10-18 21:56:06.242202,2025-10-18 21:56:18.493125,0 days 00:00:12.250923,12,1,True,0.0,1.0124265466330638,438.5036329457105,0,-189.06847454207656,COMPLETE
12,-189.40037142871506,2025-10-18 21:56:18.493919,2025-10-18 21:56:28.183192,0 days 00:00:09.689273,11,1,True,0.0,1.0201217581180675,351.83584547718186,0,-189.40037142871506,COMPLETE
13,-187.9834485521369,2025-10-18 21:56:28.183765,2025-10-18 21:56:37.662273,0 days 00:00:09.478508,10,3,True,0.0,1.0154322964372773,296.947285450629,0,-187.9834485521369,COMPLETE
14,-188.7502178570051,2025-10-18 21:56:37.662907,2025-10-18 21:56:48.777980,0 days 00:00:11.115073,12,6,True,0.0,1.011312086954805,284.22061489269265,0,-188.7502178570051,COMPLETE
15,-189.5773094799376,2025-10-18 21:56:48.778700,2025-10-18 21:57:01.718763,0 days 00:00:12.940063,10,1,True,0.0,1.0386417039693523,294.72708008709907,0,-189.5773094799376,COMPLETE
16,-188.07360849339898,2025-10-18 21:57:01.719609,2025-10-18 21:57:11.062377,0 days 00:00:09.342768,7,3,True,0.0,1.0148088557656807,211.4283594222385,0,-188.07360849339898,COMPLETE
17,-188.02248471990458,2025-10-18 21:57:11.063008,2025-10-18 21:57:21.670414,0 days 00:00:10.607406,10,3,True,0.0,1.0242932030007377,281.1874794656009,0,-188.02248471990458,COMPLETE
18,-189.29062825508475,2025-10-18 21:57:21.671062,2025-10-18 21:57:32.009056,0 days 00:00:10.337994,9,5,True,0.0,1.009959773605385,252.3469511748541,0,-189.29062825508475,COMPLETE
19,-188.95925850369986,2025-10-18 21:57:32.009844,2025-10-18 21:57:42.742104,0 days 00:00:10.732260,11,2,True,0.0,1.0576770965222067,50.73394476230655,0,-188.95925850369986,COMPLETE
