number,value,datetime_start,datetime_complete,duration,params_adstock_max_lag,params_yearly_seasonality,user_attrs_converged,user_attrs_divergence_rate,user_attrs_max_rhat,user_attrs_min_ess,user_attrs_n_divergences,user_attrs_test_crps,state
0,302.0187490319047,2025-10-19 22:11:48.908387,2025-10-19 22:12:09.024725,0 days 00:00:20.116338,12,4,True,0.0,1.023215815829009,188.80737932533228,0,302.0187490319047,COMPLETE
1,316.96967178887326,2025-10-19 22:12:09.029600,2025-10-19 22:12:18.836977,0 days 00:00:09.807377,9,8,True,0.0,1.0173256427767638,316.44914486618995,0,316.96967178887326,COMPLETE
2,307.19145657442226,2025-10-19 22:12:18.838866,2025-10-19 22:12:31.692616,0 days 00:00:12.853750,5,2,True,0.0,1.025262464314107,215.41016308302918,0,307.19145657442226,COMPLETE
3,307.42073931232034,2025-10-19 22:12:31.695263,2025-10-19 22:12:44.659717,0 days 00:00:12.964454,11,1,True,0.0,1.0082227383728612,244.48228365618712,0,307.42073931232034,COMPLETE
4,312.56612368858083,2025-10-19 22:12:44.661426,2025-10-19 22:13:02.891400,0 days 00:00:18.229974,10,7,True,0.0,1.0149541355084517,223.72458316638316,0,312.56612368858083,COMPLETE
5,312.60564160075813,2025-10-19 22:13:02.897141,2025-10-19 22:13:15.560936,0 days 00:00:12.663795,12,1,True,0.0,1.0117738810704455,293.0706890765108,0,312.60564160075813,COMPLETE
6,350.53062597115076,2025-10-19 22:13:15.563288,2025-10-19 22:13:33.524917,0 days 00:00:17.961629,5,9,True,0.0,1.0122589447386983,374.6525948383856,0,350.53062597115076,COMPLETE
7,306.87572155405974,2025-10-19 22:13:33.527712,2025-10-19 22:13:45.988184,0 days 00:00:12.460472,5,2,True,0.0,1.0128148096804104,285.2386812420957,0,306.87572155405974,COMPLETE
8,306.3895098110311,2025-10-19 22:13:45.989753,2025-10-19 22:13:58.828066,0 days 00:00:12.838313,8,4,True,0.0,1.0089855539509645,300.3644811990478,0,306.3895098110311,COMPLETE
9,324.56684863873335,2025-10-19 22:13:58.830040,2025-10-19 22:14:13.124663,0 days 00:00:14.294623,6,5,True,0.0,1.0099890402606468,228.19545953316359,0,324.56684863873335,COMPLETE
10,308.116561154193,2025-10-19 22:14:13.126316,2025-10-19 22:14:24.240572,0 days 00:00:11.114256,8,4,True,0.0,1.013736525652002,304.7932605218132,0,308.116561154193,COMPLETE
11,304.684734924399,2025-10-19 22:14:24.242045,2025-10-19 22:14:37.146952,0 days 00:00:12.904907,8,4,True,0.0,1.0328124684253426,276.04094262379203,0,304.684734924399,COMPLETE
12,312.7114175970824,2025-10-19 22:14:37.156673,2025-10-19 22:14:49.603479,0 days 00:00:12.446806,7,6,True,0.0,1.0223143985919714,200.6232208354341,0,312.7114175970824,COMPLETE
13,294.7078719113994,2025-10-19 22:14:49.606620,2025-10-19 22:15:02.920735,0 days 00:00:13.314115,10,3,True,0.0,1.0229866412504736,368.4510170912656,0,294.7078719113994,COMPLETE
14,299.79668627860553,2025-10-19 22:15:02.922310,2025-10-19 22:15:16.343640,0 days 00:00:13.421330,12,3,True,0.0,1.0078737495472792,365.32071822225805,0,299.79668627860553,COMPLETE
15,304.7467904918494,2025-10-19 22:15:16.345338,2025-10-19 22:15:28.702403,0 days 00:00:12.357065,10,3,True,0.0,1.0134923382583554,347.59705712362114,0,304.7467904918494,COMPLETE
16,308.5894833925392,2025-10-19 22:15:28.704089,2025-10-19 22:15:42.441803,0 days 00:00:13.737714,11,6,True,0.0,1.0135777119204477,275.13080911974095,0,308.5894833925392,COMPLETE
17,308.2065406864887,2025-10-19 22:15:42.443650,2025-10-19 22:15:56.185116,0 days 00:00:13.741466,10,2,True,0.0,1.0162264737768882,400.6561602631099,0,308.2065406864887,COMPLETE
18,348.04178969844725,2025-10-19 22:15:56.187235,2025-10-19 22:16:08.941319,0 days 00:00:12.754084,11,10,True,0.0,1.0236769215218748,284.0071864407199,0,348.04178969844725,COMPLETE
19,301.4649398580174,2025-10-19 22:16:08.954001,2025-10-19 22:16:21.827489,0 days 00:00:12.873488,12,3,True,0.0,1.0173007242337853,308.3716636884463,0,301.4649398580174,COMPLETE
